##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	237	360	1.52				1	565	1	10	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
		1.489	1.745	1.692	1.895	1.836	1.862	1.625	1.807	2.034	2.02				
		14.9876	15.0562	15.029	14.9824	15.0294	15.0476	14.9372	14.8808	14.986	15.0476				
		1.36	1.741	1.58	1.811	2.051	2.438	2.003	2.181	1.785	1.853				
		15.146	15.217	15.1794	15.1328	15.1798	15.1972	15.138	15.1008	15.1476	15.1988				
		1.547	1.646	1.766	1.845	2.142	2.757	2.277	2.168	2.059	2.038				
		15.2964	15.3666	15.3298	15.2928	15.3302	15.414	15.2876	15.2512	15.2964	15.3476				
		2.526	3.152	3.066	3.075	3.949	4.559	3.988	4.371	4.131	4.328				
		
	37.07	15.6884	15.8282	15.8002	15.6832	15.7006	15.71	15.6676	15.6312	15.7572	15.7284				
		1520.622	1674.744	1599.591	1572.451	1614.813	1606.729	1665.197	1656.23	1610.392	1493.845				
		15.9076	15.997	15.9602	15.8432	15.8606	15.8684	15.818	15.7936	15.9348	15.89				
		1446.514	1703.976	1611.495	1691.22	1698.988	1688.728	1715.779	1736.43	1667.451	1527.295				
		16.0684	16.157	16.1114	15.9928	16.0902	16.0276	15.978	15.9512	16.098	16.0484				
		1531.556	1826.723	1740.507	1812.957	1742.855	1814.787	1763.847	1756.13	1720.53	1581.79				
		16.218	16.3074	16.2706	16.1544	16.2406	16.178	16.1988	16.1616	16.2476	16.1988				
		1376.147	1608.049	1530.466	1621.634	1740.152	1689.56	1795.853	1766.456	1614.287	1464.193				
		16.3684	16.469	16.4306	16.3136	16.4006	16.33	16.3484	16.3216	16.4076	16.3492				
		1.39	1.761	1.784	2.125	1.746	1.499	1.86	1.979	2.113	1.91				
		16.53	16.6274	16.581	16.464	16.551	16.5388	16.5084	16.472	16.5684	16.51				
		1.534	1.815	1.798	1.845	1.812	2.258	1.915	1.989	1.81	1.712				
		16.678	16.8578	16.7666	16.684	16.7014	16.6892	16.6604	16.6224	16.798	16.7188				
